id,description,lock_version,updated_at,created_at,unit_no
307,COKER GAS PLT,0,1/8/2009 0:00,1/8/2009 0:00,6200
308,COKER WET GAS PLT,0,1/8/2009 0:00,1/8/2009 0:00,6201
309,CONDENSATE SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8616
310,COOLING WTR/CT BLOWDOWN SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8615
311,DEA (RICH & LEAN) SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8624
312,DECOKING,0,1/8/2009 0:00,1/8/2009 0:00,6202
313,DYE INJECTION,0,1/8/2009 0:00,1/8/2009 0:00,7505
314,E-52 TIE-IN SHELL@UNOCAL,0,1/8/2009 0:00,1/8/2009 0:00, CN-1
315,EAST RET BASIN,0,1/8/2009 0:00,1/8/2009 0:00,8707
316,ELECTRICAL MANHOLES,0,1/8/2009 0:00,1/8/2009 0:00,161
317,FCC BUELL PRECIP,0,1/8/2009 0:00,1/8/2009 0:00,8402
318,FCC CAT POLY,0,1/8/2009 0:00,1/8/2009 0:00,1400
319,FCC COMP,0,1/8/2009 0:00,1/8/2009 0:00,1200
320,FCC CRACKING,0,1/8/2009 0:00,1/8/2009 0:00,1100
321,FCC DEA STORAGE,0,1/8/2009 0:00,1/8/2009 0:00,903
322,FCC FRAC,0,1/8/2009 0:00,1/8/2009 0:00,1101
323,FCC NO SOUR WTR DRUM,0,1/8/2009 0:00,1/8/2009 0:00,1000
324,FCC TETRAMER,0,1/8/2009 0:00,1/8/2009 0:00,1500
325,FIRE TRAINING AREA,0,1/8/2009 0:00,1/8/2009 0:00,8711
326,FIRE WATER/HP WATER SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8617
327,FIRE WTR PUMP HOUSE,0,1/8/2009 0:00,1/8/2009 0:00,8709
328,FOUNDATION LOCATION,0,1/8/2009 0:00,1/8/2009 0:00,130
329,FRESH WTR BASIN RESERVOIR,0,1/8/2009 0:00,1/8/2009 0:00,8710
330,FUEL GAS (PLT BLKT SO. CAL)SYS,0,1/8/2009 0:00,1/8/2009 0:00,8600
331,HEAVY HYDRO,0,1/8/2009 0:00,1/8/2009 0:00,2600
332,HP FIRE WATER,0,1/8/2009 0:00,1/8/2009 0:00,134
333,HYDROCRACKER FRAC,0,1/8/2009 0:00,1/8/2009 0:00,301
334,HYDROCRACKER REAC,0,1/8/2009 0:00,1/8/2009 0:00,302
