Valve_No,Manuf_Name,Figure_No,Last_Updt_Id,Last_Updt_Date
V01483,KITZ                                              ,,PCSSME  ,1999-7-7
V01483,NEWCO                                             ,,PCSSME  ,1999-7-7
V01483,PACIFIC                                           ,,PCSSME  ,1999-7-7
V01483,VELAN                                             ,,PCSSME  ,1999-7-7
V01483,WALWORTH                                          ,,PCSSME  ,1999-7-7
V01487,COOPER                                            ,215-RF-ALLOY C                                    ,NEUHKM  ,2007-6-18
V01487,KITZ                                              ,150UPAHC                                          ,THOM1J  ,2007-6-18
V01487,LADISH VALVES                                     ,7272-ALLOY C                                      ,NEUHKM  ,2007-6-18
V01489,VELAN                                             ,F-0074T-13MY (W/WELDED BONNET)                    ,THOM1J  ,2005-1-31
V01501,KITZ                                              ,150UOACNB-Q                                       ,COBBS2  ,2002-11-12
V01501,KITZ                                              ,150UOACND-Q                                       ,COBBS2  ,2002-11-12
V01501,KITZ                                              ,150UOCCND-Q                                       ,COBBS2  ,2002-11-12
V01502,KITZ                                              ,150SC0SMM                                         ,PCSSME  ,1999-2-18
V01502,NEWCO                                             ,31F-CB4                                           ,,
V01502,PACIFIC                                           ,180-12                                            ,,
V01502,VELAN                                             ,F-0114C-02MX                                      ,PCSSME  ,1999-2-22
V01502,WALWORTH                                          ,5341F                                             ,,
V01504,KITZ                                              ,150SC0SMM-N                                       ,PCSSME  ,1999-2-18
V01504,NEWCO                                             ,31F-CB4-N1                                        ,,
V01504,PACIFIC                                           ,180-12                                            ,,
V01504,VELAN                                             ,F-0114C-02NB                                      ,PCSSME  ,1999-2-22
